1,not difficult to predict the coming of a global cold,[],[difficult, cold],negative
2,stevenbeschloss: anyone doubt the cold blooded butcher of moscow sleeps well,[well],[doubt, butcher, cold],negative
3,hariolor: the  corpse  was  no  longer  cold  because  there  never  had  been  any  corpse  for  you  to  mourn  over  in  the  first,[],[cold, mourn],negative
31,kh,[],[],neutral
32,letsgosteevee i m literally cold and alone and depressed right now and don t know what else to do except sleep hsjsisi i miss all of you 🥲,[right],[depressed, cold, miss],negative
33,nctdaoylng: filming for doyoung s drama  to x who doesn t love me  has ended,[love],[],positive
34,mckenzieas93v2: triple h saving stone cold steve austin from a attack from a fan is one of the reasons why he's so respected by his pee,[],[attack, cold],negative
35,punk6529: 1  on how short life is,[],[],neutral
36,i put this meatloaf in the oven for 2 hours to prepare it for dinner,[],[],neutral
37,better than being told we're going to have a cold dark winter and no food https:  t co uzecraaxx2,[better],[dark, cold],negative
38,now it feels like we are strangers,[like],[],positive
39,it s cold when you outside by yourself ain t it,[],[cold],negative
40,its cold,[],[cold],negative
41,deemeow3: 😿😿 anyone in or near atlanta,[],[],neutral
42,when u want to cry,[],[cry],negative
43,randomygs: yoongi showing you his cold brew ice coffee https:  t co natysgiloo,[],[cold],negative
44,mmajunkie: demetrious johnson chokes rodtang out cold in the mma round of their mixed rules bout  🐭,[],[cold],negative
45,not the best day to be an ice cold brew,[best],[cold],neutral
46,stphnfwlr: people keep leaving during trump speech  it s cold and windy and there s not much enthusiasm,[trump, enthusiasm],[cold],positive
47,ain t nothing like a cold sweet orange,[like, sweet],[cold],positive
48,mckenzieas93v2: triple h saving stone cold steve austin from a attack from a fan is one of the reasons why he's so respected by his pee,[],[attack, cold],negative
49,calvinshuman he's so cold 🥶   so yes    out  amp  in fast 😆,[fast],[cold],neutral
50,punk6529: 1  on how short life is,[],[],neutral
51,kamilkazani: i'm gonna post long reads on my substack  here's a text on how did russia get so big and so cold  it's outlining the logic,[],[cold],negative
52,115ljy: 🐱 that time,[],[],neutral
53,'cause you're hot then you're cold,[hot],[cold],neutral
54,punk6529: 1  on how short life is,[],[],neutral
55,this shower is cold please warm back up,[warm],[cold],neutral
56,jorgeee999: god i can't wait for the cold to get here again,[],[cold],negative
57,kamilkazani: i'm gonna post long reads on my substack  here's a text on how did russia get so big and so cold  it's outlining the logic,[],[cold],negative
58,lisspeedvs: "don't forget your new scarf,[],[],neutral
59,mckenzieas93v2: triple h saving stone cold steve austin from a attack from a fan is one of the reasons why he's so respected by his pee,[],[attack, cold],negative
60,"we competed hard on a cold,[],[cold, hard],negative
61,sentigeracnt:,[],[],neutral
62,punk6529: 1  on how short life is,[],[],neutral
63,grommit56: stepping out this morning i could hear flocks of returning birds chirping  now i don't speak bird but i believe they were ec,[],[],neutral
64,janiaabaniaaaa: there s no reason i keep this house so cold,[],[cold],negative
65,iamkatesbush: me when it's cold out https:  t co movbcydxp0,[],[cold],negative
66,dzoolander85 by "wave" do u mean a virus causing cold like symptoms where ppl under age 70 have a 99 9  survival rate  okkkkk      give it up,[like, survival],[symptoms, cold, virus],negative
67,lol was listening to one worship session and the guy said it s so cold outside 😂 https:  t co uqfu7mc7xt,[],[cold],negative
68,mckenzieas93v2: triple h saving stone cold steve austin from a attack from a fan is one of the reasons why he's so respected by his pee,[],[attack, cold],negative
69,mckenzieas93v2: triple h saving stone cold steve austin from a attack from a fan is one of the reasons why he's so respected by his pee,[],[attack, cold],negative
70,vandalism   cold at 5900 ne 42nd ave,[],[cold],negative
71,como no hab a visto el cap tulo de south park de su "back to cold war" que termina con ese homenaje mamons simo a rocky iv 😂😂😂 est  lo m s top,[top],[cold, rocky],negative
72,kareem_37 another cold take,[],[cold],negative
73,renjunthelight: nct dream caf  drinks   amp  food  picks   2022 ver,[],[],neutral
74,deniseshrivell you're about to have a cold at best,[best],[cold],neutral
75,it s cold 🥶 af outside,[],[cold],negative
76,the_big_green_: sol'phie,[],[],neutral
77,im def about to put this fireplace on   its cold 🤦🏾,[],[cold],negative
78,punk6529: 1  on how short life is,[],[],neutral
79,chyannezschpiel  ivriniel  hammertime_11  travisdhanraj  sflecce thanks  really just sore throat and cold type symptoms  could ve easily thought it was just a cold if they hadn t repeatedly tested,[],[symptoms, sore, cold],negative
80,punk6529: 1  on how short life is,[],[],neutral
81,punk6529: 1  on how short life is,[],[],neutral
82,juanogc  fiatluxgenesis  timkennedymma dont know what to make of this  you offer a blessing and then you insult me  you seem like a walking hypocrite such a cold hearted person  just because you can't convince me of hypocrisy doesn't mean i have a mental disorder  are you a practicing catholic or a catholic by culture,[like, blessing],[disorder, hypocrisy, cold, hypocrite, insult],negative
83,uqcriminal: killer confesses to cold case murder on tv  crime  killer  murder  coldcase  truecrime https:  t co rf092xxyou,[],[murder, cold, crime, killer],negative
84,cfc__cameron nahh this a i was to cold to be true,[],[cold],negative
85,xrpcryptowolf ice cold pacifico s  https:  t co zkiih3v8hv,[],[cold],negative
86,mommyaqui what i like the cold i don t like heat do you like hot air or something,[like, hot],[cold],positive
87,itsthewestend: why is everyone sniffing in the bathroom  is there a cold going around,[],[cold],negative
88,jeongsapphic: i wish those ketchup onces would stop portraying tzu as stone cold bitch who h8s nayeon,[],[bitch, cold],negative
89,wujueats god the grip that the whole   being cold makes u lose weight   idea had on my 13 year old mpa addicted self was truly ridiculous,[],[ridiculous, addicted, lose, cold],negative
90,drvolts: mitch mcconnell should not be able to show his anus face in public,[],[],neutral
91,drvolts: mitch mcconnell should not be able to show his anus face in public,[],[],neutral
92,shiroiflash warm or cold weather,[warm],[cold],neutral
93,drvolts: mitch mcconnell should not be able to show his anus face in public,[],[],neutral
94,echa un vistazo a este empleo en falabella retail s a: coordinador de bienestar https:  t co t8huzxe2gq,[],[],neutral
95,kamilkazani: i'm gonna post long reads on my substack  here's a text on how did russia get so big and so cold  it's outlining the logic,[],[cold],negative
96,haydenye99: this picture is too cold  fuck grammy tho,[],[fuck, cold],negative
97,i am physic confirmed   don t mind my voice i have a cold   r6  calledit https:  t co atpmobpock,[],[cold],negative
98,chairhair22 i had a baby chick in my shirt because it was cold  also got 5 others  https:  t co xo82bqwcei,[],[cold],negative
99,lakotaman1 yes  today at the market  the day before that  amp  before that one too,[],[],neutral
100,check out this listing i just added to my  poshmark closet: ninas by stone cold fox bell sleeves top white size xs  https:  t co ko03kf4nhz  shopmycloset  poshmarkapp,[top],[cold],neutral
101,disgustingcreep  philmachinist  hear_war  podolyak_m the good news is the universe will die a cold death as entropy causes all forms of matter  amp  energy to decay beyond the lowest limits of the subatomic scale eventually anyway lol  cheers,[good],[die, death, cold, decay, limits],negative
102,elkrosmediahub: i understand dark humor  i mean,[humor],[dark],neutral
103,endgameww3: update: russian security council: relations with the west and america are worse than the period of the cold war,[],[cold, worse],negative
104,dadeuthannie: hannie 🥺 i hope it doesn t rain again today :   it must ve been really cold for them and carats too https:  t co mivu5zno,[],[cold],negative
105,gyeomspijja:     cold blooded https:  t co prckzk4qpt,[],[cold],negative
106,iamsouljabrasi: put a scorpio in a position to show you how cold we are and we ll freeze you every time,[],[freeze, cold],negative
107,joey_c523: criminally underrated  foofighters song that  casual  fans probably didn t know  taylor sang this song  one of my favorites,[fans],[],positive
108,metserviceja: a cold front currently across western cuba is expected to move across jamaica on sunday   expect periods of heavy showers,[],[cold],negative
109,broke the cold streak tonight 🤲🏾,[],[broke, cold],negative
110,zhangjlngyl cliche but it's about a love story between a cold city man and cheerful country girl 😬,[love, cheerful],[cliche, cold],neutral
111,if yk me,[],[],neutral
112,sonyahawashi: 🚨huge disclosure🚨,[],[],neutral
113,keighlanight1: it s cold in here    can you tell  https:  t co r8p7fxdez5,[],[cold],negative
114,pikamesupremacy is that really cold though  more like lukewarm turkey,[like],[cold, lukewarm],negative
115,projectcold_613:   projectcold twitter,[],[],neutral
116,sseeley82:  foofighters ahhhhh fuck  nooo,[],[fuck],negative
117,tinkswonu: jeonghan shouted "the video  vcr  is long   it s cold so wear your clothes warmly" 😭😭😭,[],[cold],negative
118,i remember filling hot water from aqua to my bottle with no cold,[hot],[cold],neutral
119,dadeuthannie: hannie 🥺 i hope it doesn t rain again today :   it must ve been really cold for them and carats too https:  t co mivu5zno,[],[cold],negative
120,gopleader kevin,[],[],neutral
121,papyalust: attention  before you are allowed to enter smiling face with open mouth and cold sweatsmiling face with 3 heartssmiling face,[smiling],[cold],neutral
122,isa_corporation:   suppressed secret technology,[],[],neutral
123,endgameww3 when you start a hot war,[hot],[],positive
124,lakotaman1 i don't go out much in public yet,[],[],neutral
125,iamsouljabrasi: put a scorpio in a position to show you how cold we are and we ll freeze you every time,[],[freeze, cold],negative
126,bigwiz08081  recordingacad  wizkidayo a cold sobo 😂,[],[cold],negative
127,it rain one day snow one day it s hot asl then jus cold asf chicago weather weird 🤦🏽,[hot],[weird, cold],negative
128,fuhrermochi: you can't tell me hua cheng isn't choking back a sob in this moment,[],[sob],negative
129,jesus it s not even cold today why are the heaters on in the subway,[],[cold],negative
130,marinn_005:  checkmate,[],[],neutral
131,such a cold day in sun  rip https:  t co jlye1zcnza,[],[rip, cold],negative
132,stephanier0721:  risahoshinomd i did    but i have a child who is medically complex and too many people didn't care when they exposed h,[],[complex],negative
133,sentigeracnt:,[],[],neutral
134,weather is cold,[],[cold],negative
135,criminally underrated  foofighters song that  casual  fans probably didn t know  taylor sang this song  one of my favorites   riptaylorhawkins,[fans],[],positive
136,randomygs: yoongi showing you his cold brew ice coffee https:  t co natysgiloo,[],[cold],negative
137,https:  t co 8lft7jmpqj,[],[],neutral
138,curegirlprince sounds like a pretty cold take ryan,[pretty, like],[cold],positive
139,aruaru_gg: 220325,[],[],neutral
140,my house so cold🤣 this one under me like a damn baby,[like],[damn],neutral
141,denfaminicogame: sns      project: cold,[],[cold],negative
142,denfaminicogame: sns      project: cold,[],[cold],negative
143,bbbrrr    it's cold,[],[cold],negative
144,fuckysaki: cw cisswap,[],[],neutral
145,loopsohy: my baby   must be very cold that night 🥺 https:  t co gwulk0ojqx,[],[cold],negative
146,deeptxtmsgs: we become cold to avoid getting hurt,[],[cold, hurt],negative
147,svt_fancafe:   scoups🌟 weverse,[],[],neutral
148,woodznwm of course not,[],[],neutral
149,garats17: punishment  perform the ff songs,[],[],neutral
150,don't expect me to always be kind and loving  there are times when i will be cold,[loving],[cold],neutral
151,endgameww3: update: russian security council: relations with the west and america are worse than the period of the cold war,[],[cold, worse],negative
152,fuckysaki: cw cisswap,[],[],neutral
153,conceptsofsouls: my followers are the best    nobody messages me sab jaante hain how cold hearted am i🤣 no harassment,[best],[cold, harassment],negative
154,garats17: jeonghan singing cold blooded😭😂 https:  t co knhqyusxqt,[],[cold],negative
155,the worst part about kissing a perfect ten is the cold feeling your lips get from touching the mirror,[perfect],[worst, cold],negative
156,sanyal0121: so cold,[],[cold],negative
157,the night is a cold bitch bro,[],[bitch, cold],negative
158,endgameww3: update: russian security council: relations with the west and america are worse than the period of the cold war,[],[cold, worse],negative
159,to tell you the truth,[],[],neutral
160,randomygs: yoongi showing you his cold brew ice coffee https:  t co natysgiloo,[],[cold],negative
161,cecetheangel im over the cold,[],[cold],negative
162,randomygs: yoongi showing you his cold brew ice coffee https:  t co natysgiloo,[],[cold],negative
163,fuhrermochi: you can't tell me hua cheng isn't choking back a sob in this moment,[],[sob],negative
164,brandonnbminc  iamlaurennn__ nah yall can t lie and say he not cold tho 😭🥶🥶🥶🥶,[],[lie, cold],negative
165,whoever claims that seasonal depression can only happen when it's cold never lived in the south,[],[cold, depression],negative
166,when the world is cold,[],[cold],negative
167,dadeuthannie: hannie 🥺 i hope it doesn t rain again today :   it must ve been really cold for them and carats too https:  t co mivu5zno,[],[cold],negative
168,looks_last have you had sleepytime extra  with valerian   maybe this one has valerian,[],[],neutral
169,somadut96461948: rule out t fake suicide theory,[],[suicide, fake],negative
170,sterbboo:     cold blooded         https:  t co v70ywyftpf,[],[cold],negative
171,pualso cold turkey is good have you ever had lunch meat,[good],[cold],neutral
172,alexandra_a_a1 no need to turn cold like that   just gotta invest your time more wisely,[like, wisely],[cold],positive
173,sterbboo:     cold blooded         https:  t co v70ywyftpf,[],[cold],negative
174,i m so cold,[],[cold],negative
175,seoulsaida: her baby is cold    https:  t co tgvf6wmpue,[],[cold],negative
176,fuckysaki: cw cisswap,[],[],neutral
177,when im cold hearted ion wana hear shit🤷🏽,[],[cold],negative
178,conncfc: 12 13 mazacar vibes were too cold man   🥶 https:  t co czwpwslmdk,[],[cold],negative
179,oooomok  bblfish  guftyb  dirtiecommie  joeywreck eh,[],[],neutral
180,it was as if the two of them,[],[],neutral
181,jeonghanrated: jeonghan came out and immediately asked carats if theyre okay because its cold and raining 😞 we dont deserve him https:,[],[cold],negative
182,teokbokkisoojin: the world hard and cold,[],[cold, hard],negative
183,denfaminicogame: sns      project: cold,[],[cold],negative
184,mistersalesman "i am large  i am cold  my life has not gone as i would have preferred  might wanna rethink your location    just sayin'   ",[],[cold],negative
185,bubbacdubbya: my wife hates wrestling,[],[hates],negative
186,avalaina probably they would be too cramped  amp  contorted  sleeping in it  i e  body likely touches a cold metal surface    more likely,[],[cold, cramped],negative
187,advaidism: put a frog in boiling water,[],[boiling],negative
188,conncfc: 12 13 mazacar vibes were too cold man   🥶 https:  t co czwpwslmdk,[],[cold],negative
189,randomygs: yoongi showing you his cold brew ice coffee https:  t co natysgiloo,[],[cold],negative
190,crystallizedsun did it cold turkey  i told them i don't want to speak to them anymore and they still tried to contact me so i blocked them all and deleted my facebook so none of their friends could contact me  ever since,[],[cold],negative
191,"poo in a cold climate" 🥺 https:  t co vl6hnwkh5w,[],[cold],negative
192,denfaminicogame: sns      project: cold,[],[cold],negative
193,1woo17: jun   crooked  g dragon,[],[crooked],negative
194,herecelts: this was cold   https:  t co eojaawbivo,[],[cold],negative
195,igihe: amafoto: timaya yasoreje ku ndirimbo  cold outside  yakoranye na buju  yishimiwe cyane n abantu bituma ayisubiramo bwa kabiri  h,[],[cold],negative
196,you say im hot and cold but so are you,[hot],[cold],neutral
197,newsheli:  formulaone cancels the australian  f1 grand prix because of a cold but missiles landing near the race track is a ok for the,[grand],[cold],neutral
198,svt_fancafe:   vernon🌟 weverse,[],[],neutral
199,teemcdee1:  lbc  eddiemair that was hard to listen to  there are so many struggling and about to struggle further,[],[struggling, hard, struggle],negative
200,midnite fight club     join us   18   call of duty : cold war   military vet vs civilians   taccomops   digital wardogz   btss clan https:  t co kducbvgv1t,[],[cold],negative
201,jackelsom: sobering moment on  lbc as a single mum calls into rishi sunak to tell him rising prices means her boiler is currently off,[],[sobering],negative
202,zac2kptsd non kho the end of the beginning khir menha cold shoulder tan,[],[cold],negative
203,ungkun_nft:,[],[],neutral
204,meagan nicholas  kudos you play a crucial role in our success  makinganimpact https:  t co fzoszlpqda,[kudos, success],[],positive
205,denfaminicogame: sns      project: cold 1 8,[],[cold],negative
206,jeonmanwon: seems like the staffs are giving away free raincoats for the in person caratland attendees after they pass the identificati,[like, free],[],positive
207,alanrose9:  johnsonout59  followbackfriday  fbpe  fbpe,[],[],neutral
208,visit a zoo in january,[],[],neutral
209,proustmalone: pete buttigieg is the perfect manifestation of what the liberal consultant class thinks young voters want in a candidate:,[perfect],[],positive
210,rochuxo: el video de mar y thiago con hot amp cold definitivamente entra en mi top de mejores escenas musicales de todas las temporadas 💚,[top, hot],[cold, mar],neutral
211,mays_vfx: preview for  killing_klng,[],[],neutral
212,leapyeg:  friday is the day we look at the temperatures lucy goes through throughout her edmonton winter,[],[],neutral
213,heeeeeeeeelp  and i don t want to wake  rora since it s 1am  i m running around giving kids cold meds  just hope i don t get sick,[],[cold, sick],negative
214,marycam17021316: your taxes are going to fund a globalist government whilst your neighbours go hungry and cold,[],[cold],negative
215,infraredits  cedar50 but how do you drink beer at 1 degree kelvin,[],[],neutral
216,knighty681: i am enjoying my sons happiness again even more so as not be bloody as cold like it was watching    😁 🏏 is back https:  t c,[happiness, like, enjoying],[cold, bloody],positive
217,preyoti_1:  jiminie can't  be cold" 😭😭😭,[],[],neutral
218,abby4thepeople: next time you're breaking into a cold sweat at the checkout just remember that the president has the power to freeze fo,[],[freeze, cold, breaking],negative
219,deeptxtmsgs: we become cold to avoid getting hurt,[],[cold, hurt],negative
220,richard59824563  budgeteerk  barry_halverson 1971 war  for decades the west has been against india,[],[],neutral
221,,[],[],neutral
222,jeonmanwon: seems like the staffs are giving away free raincoats for the in person caratland attendees after they pass the identificati,[like, free],[],positive
223,luxy0000:,[],[],neutral
224,kevinkipyegon3: ndio nareceive a very cold good morning text at 11:44am  my god is watching,[good],[cold],neutral
225,pun_rii: catch a cold 🤒 xiao  zhongli https:  t co ranldsazum,[],[cold],negative
226,christill: ah yes,[],[],neutral
227,brianmutinda_: that s cold😭😔 https:  t co 0ahzsz5j5h,[],[],neutral
228,shotheekwe: hello friends,[],[],neutral
229,8 led dental teeth whitening machine cold light lamp bleaching accelerator ce https:  t co ihc7mi8oqd ebay https:  t co 9ucf5gfuds,[led],[cold],neutral
230,part 1 2  germany never lost ww1  russia never lost the cold war  germany felt humiliated by the versailles treaty  russia feels humiliated by the fall of the ussr  germany elected hitler who then increased his powers to autocracy   continued,[],[fall, lost, cold],negative
231,bootstrapcook a cold 🙄,[],[cold],negative
232,wherever there was shade yesterday it was cold,[],[cold],negative
233,bbcbreakfast  bbcscotlandnews over the last two years our charity  acts435 have helped over 14,[helped],[],positive
234,gets down on one knee  would you be the hot to my cold " https:  t co x5zapszpm6,[hot],[cold],neutral
235,oc_antoine:  alfizzle_coyg  jamaticulus thank you  i read cold emailing tips from a post doc on this app recently and he mentioned that,[thank],[cold],neutral
236,radiofreetom: for those who keep asking why some of us are so worried about the risks of escalation,[],[risks, worried],negative
237,helenmallam: is rishi sunak a politically naive rich idiot with no empathy or understanding of cold and hunger,[empathy, rich],[idiot, cold, naive],negative
238,when i tell guys about benzi,[],[],neutral
239,https:  t co jnhqebg2fe,[],[],neutral
240,deeptxtmsgs: we become cold to avoid getting hurt,[],[cold, hurt],negative
241,erikslaternr: i never saw this vid  this is cold as hell  https:  t co bumeaulg34,[],[cold, hell],negative
242,deeptxtmsgs: we become cold to avoid getting hurt,[],[cold, hurt],negative
243,sosalmv: the first female us secretary passed away from cancer yesterday,[],[cancer],negative
244,garethjbond  grantshapps  vicderbyshire even the foul outgoing director of labour bbc news fran unsworth wanted victoria derbyshire sacked   where does the enemy bbc find people like derbyshire   cold,[like],[foul, enemy, cold],negative
245,lov3h00n: everyone in gfriend is scary tbh😭 yuju and yerin has that cold aura,[],[cold, scary],negative
246,pun_rii: catch a cold 🤒 xiao  zhongli https:  t co ranldsazum,[],[cold],negative
247,denfaminicogame: sns      project: cold,[],[cold],negative
248,manngeorgia: morning  optimistically wore a sun dress and now have cold shins join us from 9 00  bbcradio3 for brendel playing a schube,[],[cold],negative
249,what's  best on https:  t co dvtf2jd2zr,[best],[],positive
250,deeptxtmsgs: we become cold to avoid getting hurt,[],[cold, hurt],negative
251,westsidejc_ it s bout to be a cold summer,[],[cold],negative
252,a pathetic attempt to fool the public by a man who has plunged 1 3m people into poverty,[],[pathetic, fool, poverty],negative
253,clementwiafe i have loads ooo  peter mafia,[],[],neutral
254,daylightes365: r u going to let me in     i rushed over in the cold,[],[cold],negative
255,best of the day on https:  t co mqmlmsmdvk,[best],[],positive
256,deeptxtmsgs: we become cold to avoid getting hurt,[],[cold, hurt],negative
257,mpeer: the room i got is quite comfortable with a great view  the food is so so  it was mostly cold when it got delivered and rice soup,[comfortable, great],[cold],positive
258,martins_ene today is friday and it's cold,[],[cold],negative
259,gabbbarsingh turn the ac off,[],[],neutral
260,radiofreetom: for those who keep asking why some of us are so worried about the risks of escalation,[],[risks, worried],negative
261,cherry blossoms at fort mchenry flowering,[],[],neutral
262,what's  best on https:  t co vfzu3jgoen,[best],[],positive
263,luxy0000:,[],[],neutral
264,henleywrite: texas s oldest cold case is still unsolved   via  pensignal  truecrime  lost  texas  mystery  missingpersons https:  t co,[],[mystery, lost, cold],negative
265,doctorajayita cold outside,[],[cold],negative
266,georgediano: a woman lost her two boys in cold blood murder by police,[],[murder, lost, cold],negative
267,brianmutinda_: that s cold😭😔 https:  t co 0ahzsz5j5h,[],[],neutral
268,marcela_luv: it s been so cold in nyc this week,[],[cold],negative
269,mrb_eenhereb4:  yvettedath yes,[],[],neutral
270,https:  t co l7p4q3jrlr,[],[],neutral
271,wtf is this day in the morning so hot than i went out without a jacket aft schl and now i getout of the mrt and its fucking cold and raining cb pey mmps,[hot],[cold, fucking],negative
272,lewdersheep: a friend colored these for me years ago so here's alien queen's colors  hot atmosphere and cold atmosphere  skin https:  t,[hot],[cold],neutral
273,together with  treasuryintel,[],[],neutral
274,georgediano: a woman lost her two boys in cold blood murder by police,[],[murder, lost, cold],negative
275,lewdersheep: a friend colored these for me years ago so here's alien queen's colors  hot atmosphere and cold atmosphere  skin https:  t,[hot],[cold],neutral
276,brianmutinda_: that s cold😭😔 https:  t co 0ahzsz5j5h,[],[],neutral
277,radiofreetom: for those who keep asking why some of us are so worried about the risks of escalation,[],[risks, worried],negative
278,hey man,[],[],neutral
279,georgediano: a woman lost her two boys in cold blood murder by police,[],[murder, lost, cold],negative
280,lamit_zw: very cold day           very hot day https:  t co zspzimfq6r,[hot],[cold],neutral
281,cause they'll put words into my mouth,[],[],neutral
282,drsjaishankar the picture says it all  no hand shakes just a formal standing posture photo  it feels so cold    indo china relations at rock bottom rtnw,[],[cold],negative
283,this new office too cold oh,[],[cold],negative
284,deeptxtmsgs: we become cold to avoid getting hurt,[],[cold, hurt],negative
285,takatina1 eggs: sunny side up   omellette,[],[],neutral
286,deeptxtmsgs: we become cold to avoid getting hurt,[],[cold, hurt],negative
287,brianmutinda_: that s cold😭😔 https:  t co 0ahzsz5j5h,[],[],neutral
288,a_sebutege: isoko rigezweho rigiye kubakwa mu i  rango mu bufatanye bwa  huyedistrict na rango investment group  rig  rizaba rifitemo i,[],[],neutral
289,l2ip0crbkigvgw3:  cold_archer,[],[],neutral
290,deeptxtmsgs: we become cold to avoid getting hurt,[],[cold, hurt],negative
291,woke up with burger and chips all over me,[],[],neutral
292,middleeasteye: watch: madeleine albright saying iraqi kids' deaths 'worth it' resurfaces following news of her death at the age of 84,[],[death],negative
293,innasovsun: when i am being asked what i want from nato leaders,[],[],neutral
294,deeptxtmsgs: we become cold to avoid getting hurt,[],[cold, hurt],negative
295,i m  hiring  know anyone who might be interested  https:  t co ukoid0p5wk,[],[],neutral
296,taking a cold shower in the middle of a hot summer day is one of the best feelings ever 🚿,[best, hot],[cold],positive
297,sadiqkhan,[],[],neutral
298,cold_wind__ 🤣                    555,[],[],neutral
299,hdsexualmovies: attention  before you are allowed to enter smiling face with open mouth and cold sweatsmiling face with 3 heartssmiling,[smiling],[cold],neutral
300,telegraph either the nato chiefs and g7 ran out of options how to tackle putin or planning to start new cold war and continue proxy war in ukraine with russia  either way ukraine is completely wracked,[],[cold],negative
301,llllmairullll:                                                              cold cut                         https:  t co 6gn3zkyrhv,[],[cold],negative
302,6ixroses_: bumping this nigga music  amp  my man walking around nodding to it  yo replacement cold ain t he gang🤣🤣🤣🤣🤣🤣,[],[bumping, cold],negative
303,polygodio:   cinematic teaser,[],[],neutral
304,hesherman: nyc subway,[],[],neutral
305,rishisunak so what are you doing about this  i guess your lights are on and you aren t cold  you are a travesty of a human being https:  t co nztlzw76gm,[],[travesty, cold],negative
306,runmel6:  mywifedates it is  tittytuesday  i have  hardnipples with cold water  do you like,[like],[cold],neutral
307,s_fonsecan: cold mornings,[],[cold],negative
308,erikslaternr: i never saw this vid  this is cold as hell  https:  t co bumeaulg34,[],[cold, hell],negative
309,6ixroses_: bumping this nigga music  amp  my man walking around nodding to it  yo replacement cold ain t he gang🤣🤣🤣🤣🤣🤣,[],[bumping, cold],negative
310,mikegalsworthy: it looks like sunak s spring statement has bombed,[like],[],positive
311,erikslaternr: i never saw this vid  this is cold as hell  https:  t co bumeaulg34,[],[cold, hell],negative
312,gillesenges l'expression est,[],[],neutral
313,markstephen60: i ve never seen a better argument for not allowing millionaires to decide what is best for the rest of us  this governme,[better, best],[],positive
314,now_arsenai: gabriel martinelli with the cold responses  he knows,[],[cold],negative
315,ay_30bg: which verse is your favorite,[favorite],[],positive
316,suetrechka oh how annoying to have the snow come back after you have had some warm days,[warm],[annoying],neutral
317,erikslaternr: i never saw this vid  this is cold as hell  https:  t co bumeaulg34,[],[cold, hell],negative
318,erikslaternr: i never saw this vid  this is cold as hell  https:  t co bumeaulg34,[],[cold, hell],negative
319,espnfc: marcelo is too cold  wait until the last shot 🥶,[],[cold],negative
320,ytrall1 can't feel the cold when you're this hot 😤,[hot],[cold],neutral
321,it's so warm    the snow doesn't feel cold any more,[warm],[cold],neutral
322,cctv_idiots: just because it s cold up here in scotland doesn t mean we know how a ski lift works 😂😂 https:  t co kzqetngjl6,[works],[cold],neutral
323,kanikazinx too cold for me 🥶,[],[cold],negative
